통계년도,범죄종류,합계,아파트,단독주택,고속도로,노상,상점,시장노점,숙밥업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타
2014-01-01,강도,1618,138,182,2,423,217,10,90,101,33,3,3,0,2,1,14,6,21,2,12,8,6,4,0,0,0,0,340
2014-01-01,방화,1707,258,318,1,208,27,29,26,65,46,19,4,9,10,5,4,3,17,5,0,16,16,10,0,0,0,0,611
2014-01-01,살인,938,186,197,3,185,8,4,37,37,22,8,1,2,5,0,12,3,4,2,0,12,3,14,2,0,0,0,191
2014-01-01,성폭력,29863,2584,2629,13,4919,766,122,2604,2115,655,60,10,22,1269,1200,1243,154,268,440,18,234,73,68,1,8,14,5,8369
2014-01-01,공갈,7162,351,411,5,1662,257,133,135,1411,477,59,24,3,37,5,50,86,71,175,43,49,13,12,3,1,3,0,1686
2014-01-01,상해,65840,4222,4159,65,23747,1033,469,784,7844,2228,527,328,48,180,47,366,155,699,598,21,597,166,260,38,18,92,20,17129
2014-01-01,약취와 유인,206,22,21,0,66,3,1,8,4,4,0,0,0,6,0,5,0,1,9,1,2,1,1,1,0,0,0,50
2014-01-01,체포와 감금,1265,121,105,7,295,13,5,68,48,76,13,3,2,1,0,55,2,7,9,0,85,6,2,0,1,0,0,341
2014-01-01,"폭력행위등(단체등의구성,활동)",1212,81,75,4,331,11,6,14,162,40,7,5,1,0,2,1,3,13,2,1,2,7,3,0,0,0,0,441
2014-01-01,"폭력행위등(손괴,강요,주거침입등)",2140,207,250,5,558,29,16,34,117,105,23,15,2,1,0,2,5,9,26,4,12,31,26,4,0,0,0,659
2014-01-01,폭행,146625,7915,6869,132,58095,2462,576,1052,12158,2888,426,322,33,422,251,1241,425,1343,581,61,965,332,199,55,53,89,13,47667
2014-01-01,협박,9205,1056,1265,32,1736,229,80,87,625,574,41,24,3,18,6,46,22,53,51,9,109,36,38,3,1,13,1,3047
2015-01-01,강도,1472,99,143,3,408,203,7,109,85,32,5,2,1,2,1,12,0,7,2,16,2,4,12,0,0,0,0,317
2015-01-01,방화,1646,246,286,0,194,25,12,29,45,50,20,4,16,8,1,0,0,17,6,6,17,10,10,1,0,0,2,641
2015-01-01,살인,958,176,190,0,177,12,4,24,42,21,2,0,1,1,0,9,0,9,3,0,14,4,5,5,0,0,0,259
2015-01-01,성폭력,31063,2440,2683,24,4748,744,163,2611,2097,712,36,11,13,1857,1570,876,63,304,418,17,264,84,72,1,8,20,3,9224
2015-01-01,공갈,5356,247,292,4,1434,185,102,100,891,394,21,19,3,12,0,13,6,46,82,61,34,8,8,0,0,1,1,1392
2015-01-01,상해,62700,4441,4293,66,21597,897,402,616,6492,2003,539,315,40,153,29,180,36,649,575,27,530,199,239,40,18,93,12,18219
2015-01-01,약취와 유인,195,20,18,0,65,1,0,8,3,1,0,0,0,5,0,4,0,3,6,0,7,2,0,0,0,0,0,52
2015-01-01,체포와 감금,1383,120,126,7,329,16,11,53,59,76,10,0,2,3,0,38,3,3,16,1,61,12,6,1,0,3,0,427
2015-01-01,"폭력행위등(단체등의구성,활동)",1123,93,99,2,305,6,3,10,138,32,6,0,0,1,1,2,1,5,1,0,3,4,1,2,0,0,0,408
2015-01-01,"폭력행위등(손괴,강요,주거침입등)",2207,225,236,3,570,26,34,22,88,162,26,18,8,4,3,3,2,5,27,2,14,28,20,6,0,0,0,675
2015-01-01,폭행,161636,11179,9317,152,59353,2373,523,942,10930,2739,460,277,52,472,189,604,84,1338,610,69,933,225,192,62,23,102,7,58429
2015-01-01,협박,14107,1743,1878,175,3160,233,65,105,679,666,64,23,4,13,3,34,7,66,57,12,104,29,48,4,4,13,2,4916
2016-01-01,강도,1181,74,114,2,339,145,6,68,75,31,3,2,1,1,1,13,0,7,3,3,6,1,6,0,0,0,0,280
2016-01-01,방화,1477,202,268,0,195,16,13,19,42,45,10,9,10,2,0,2,0,19,4,2,9,14,9,1,0,0,1,585
2016-01-01,살인,948,162,189,1,156,9,3,29,49,19,5,1,2,2,2,10,0,9,1,1,15,5,15,6,0,0,0,257
2016-01-01,성폭력,29357,2597,2513,18,3962,657,161,2526,2351,637,62,15,16,1121,1309,929,63,274,423,22,268,61,64,2,11,37,6,9252
2016-01-01,공갈,4763,217,241,3,937,194,33,90,667,397,38,54,2,10,4,9,3,41,91,31,38,13,13,1,4,5,1,1626
2016-01-01,상해,55761,4160,3710,45,19208,834,327,567,5690,1717,439,299,34,157,38,150,48,579,534,18,437,122,234,35,9,117,11,16242
2016-01-01,약취와 유인,203,25,16,0,79,3,1,11,11,0,0,0,0,1,0,4,0,3,5,0,2,1,0,0,0,0,0,41
2016-01-01,체포와 감금,1579,164,119,10,356,24,3,72,49,74,6,2,2,1,0,50,1,2,10,1,62,8,3,1,0,4,0,555
2016-01-01,"폭력행위등(단체등의구성,활동)",190,7,8,0,51,2,0,1,30,14,0,0,0,0,0,0,0,8,1,0,1,1,0,0,0,0,0,66
2016-01-01,"폭력행위등(손괴,강요,주거침입등)",878,101,117,0,126,14,13,15,32,77,17,21,2,0,0,0,2,5,17,1,1,16,10,1,0,2,0,288
2016-01-01,폭행,172071,12634,9720,122,61708,2504,543,973,11459,2791,490,355,38,508,267,626,100,1261,607,72,1033,194,195,52,24,124,7,63664
2016-01-01,협박,16444,1856,1909,265,4534,303,62,104,766,639,53,34,5,17,12,40,5,64,69,8,134,36,48,2,3,16,2,5458
2017-01-01,강도,990,83,87,1,261,119,5,71,62,25,3,1,1,2,0,6,1,6,5,10,1,5,7,1,0,0,0,227
2017-01-01,방화,1358,203,227,0,174,11,6,14,33,28,16,12,14,2,1,2,1,13,11,4,8,14,11,1,0,0,0,552
2017-01-01,살인,858,182,161,2,136,4,1,34,40,21,3,0,2,1,0,6,0,5,1,1,9,3,7,5,0,0,0,234
2017-01-01,성폭력,32824,2845,2431,20,4448,798,185,2673,2588,596,55,13,19,1481,1692,1035,79,284,491,20,292,61,39,3,15,29,3,10629
2017-01-01,공갈,4981,256,304,3,996,134,44,73,604,363,23,46,4,13,0,16,3,40,100,29,22,10,11,1,1,7,0,1878
2017-01-01,상해,49376,3855,3098,47,16900,699,300,525,5186,1466,399,281,33,146,30,142,48,507,561,15,400,171,210,36,4,134,8,14175
2017-01-01,약취와 유인,216,23,11,0,78,2,0,8,6,1,0,0,0,4,1,1,0,3,14,0,1,1,1,0,0,0,0,61
2017-01-01,체포와 감금,1728,203,140,9,356,13,3,51,57,85,5,4,3,4,0,58,0,0,13,0,40,12,5,0,0,0,1,666
2017-01-01,"폭력행위등(단체등의구성,활동)",140,2,5,0,51,3,0,2,29,3,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,36
2017-01-01,"폭력행위등(손괴,강요,주거침입등)",843,104,103,1,112,39,8,17,30,40,10,18,3,2,0,0,0,2,25,0,1,15,5,0,0,0,1,307
2017-01-01,폭행,165498,11949,8380,132,60975,2561,576,1079,12419,2818,456,431,57,574,299,761,103,1204,649,55,1075,242,175,78,39,154,2,58255
2017-01-01,협박,16007,1811,1688,112,5026,271,65,74,709,596,38,36,8,21,8,31,7,58,74,14,103,40,30,5,3,18,4,5157
2018-01-01,강도,841,78,85,0,252,137,1,80,58,23,3,2,1,3,1,9,1,5,1,15,2,3,4,2,0,0,0,75
2018-01-01,방화,1478,349,347,0,223,35,26,27,67,49,20,12,13,4,2,5,0,11,8,4,20,13,17,1,0,0,1,224
2018-01-01,살인,849,214,192,1,128,17,2,28,58,26,5,4,3,2,0,11,2,4,1,1,17,3,9,1,1,0,1,118
2018-01-01,성폭력,32104,3679,3030,27,3928,1049,336,3397,4018,690,46,18,18,1249,1545,1359,112,323,581,19,318,78,50,2,18,47,3,6164
2018-01-01,공갈,4823,273,347,3,940,139,64,102,292,354,19,26,1,19,4,17,3,45,80,44,22,8,12,1,2,7,0,1999
2018-01-01,상해,43666,5070,3946,43,15459,905,465,785,7213,1534,417,335,44,191,61,198,71,469,592,22,462,221,139,36,11,113,9,4855
2018-01-01,약취와 유인,199,26,11,0,83,1,3,4,2,4,0,0,0,5,0,3,0,1,15,0,3,0,1,0,0,0,0,37
2018-01-01,체포와 감금,1494,223,156,7,311,21,11,122,85,78,5,1,2,7,0,95,2,3,10,1,42,15,4,1,1,3,0,288
2018-01-01,"폭력행위등(단체등의구성,활동)",164,7,2,0,56,4,4,1,25,3,0,0,0,1,0,0,0,10,3,0,0,0,0,1,0,0,0,47
2018-01-01,"폭력행위등(손괴,강요,주거침입등)",769,141,108,0,102,31,15,32,40,52,13,11,2,2,0,0,1,2,19,0,2,13,12,2,0,1,0,168
2018-01-01,폭행,164500,21862,14834,165,63415,4750,1746,2337,23513,3840,747,706,82,1219,591,2275,169,1451,915,110,1676,528,233,76,59,176,16,17009
2018-01-01,협박,17777,3304,2717,93,5080,476,130,183,1282,770,59,38,9,50,16,83,15,76,101,20,160,55,39,9,6,25,3,2978
2019-01-01,강도,845,106,89,1,221,115,8,79,53,21,1,0,3,4,1,8,0,7,0,4,6,1,7,0,0,0,1,109
2019-01-01,방화,1345,352,298,0,237,25,27,46,55,46,16,6,6,4,1,2,3,10,9,2,12,7,29,0,0,0,4,148
2019-01-01,살인,847,228,174,0,145,9,1,27,49,14,5,1,0,3,0,5,0,9,1,0,25,1,17,3,0,0,1,129
2019-01-01,성폭력,32029,4127,2790,20,3909,1125,308,3556,4281,659,62,20,17,1132,1541,1271,123,331,585,15,396,86,43,3,17,34,2,5576
2019-01-01,공갈,5574,294,371,2,973,152,55,97,459,390,15,19,0,12,3,20,2,55,81,29,33,7,9,1,4,8,1,2482
2019-01-01,상해,40306,5242,3652,53,14175,814,459,745,7020,1400,340,268,34,184,64,241,51,429,587,22,415,128,148,25,15,98,7,3690
2019-01-01,약취와 유인,260,41,26,0,102,3,0,11,8,3,0,0,0,3,0,3,0,5,16,1,3,1,0,1,0,0,0,33
2019-01-01,체포와 감금,1591,253,158,6,325,15,12,130,77,88,5,1,2,6,2,100,2,6,9,2,40,10,3,0,0,0,0,339
2019-01-01,"폭력행위등(단체등의구성,활동)",169,9,1,0,66,2,3,2,20,24,0,2,0,0,0,0,0,5,5,0,1,1,0,0,0,0,0,28
2019-01-01,"폭력행위등(손괴,강요,주거침입등)",853,173,138,0,122,25,11,54,42,56,16,16,0,0,0,0,2,3,38,2,4,19,12,0,0,0,0,120
2019-01-01,폭행,161915,25373,15367,185,60830,4438,1746,2236,22858,3685,715,613,88,1203,591,2170,209,1532,933,106,1683,425,221,64,58,159,16,14411
2019-01-01,협박,21648,4462,3401,101,6420,548,156,212,1548,822,69,60,10,43,16,100,10,107,128,28,178,48,50,12,3,24,2,3090
