No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,전과없음,전과(소계),전과(소계),전과(소계),전과(소계),전과(소계),전과(소계),전과(소계),전과(소계),전과(소계),전과(소계),미상
No,자료시점,분류,분류,분류,계,전과없음,전과(소계),전과1범,전과2범,전과3범,전과4범,전과5범,전과6범,전과7범,전과8범,전과9범이상,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2014년,형법범,강력범죄(흉악),강도,"2,124",411,"1,502",230,181,139,113,91,96,73,51,528,211
2,2014년,형법범,강력범죄(흉악),방화,"1,451",362,981,173,112,112,78,65,60,37,48,296,108
3,2014년,형법범,강력범죄(흉악),살인,"1,063",257,607,101,70,62,44,44,35,28,33,190,199
4,2014년,형법범,강력범죄(흉악),성폭력,"25,223","9,179","12,524","3,384","2,166","1,400","1,051",803,591,452,393,"2,284","3,520"
5,2014년,형법범,강력범죄(폭력),공갈,"7,497","1,507","4,393",634,484,385,333,299,239,201,183,"1,635","1,597"
6,2014년,형법범,강력범죄(폭력),상해,"102,320","27,417","65,396","13,054","9,370","7,191","5,600","4,567","3,901","2,903","2,547","16,263","9,507"
7,2014년,형법범,강력범죄(폭력),약취와 유인,271,60,127,29,17,12,8,7,7,8,3,36,84
8,2014년,형법범,강력범죄(폭력),체포와 감금,"2,108",343,856,158,131,97,64,51,50,41,21,243,909
9,2014년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)","1,809",323,"1,142",145,124,114,94,69,66,72,52,406,344
10,2014년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","4,996","1,380","2,615",546,373,304,241,187,154,114,104,592,"1,001"
11,2014년,형법범,강력범죄(폭력),폭행,"202,731","32,457","80,394","15,529","11,588","8,956","6,953","5,738","4,561","3,545","3,138","20,386","89,880"
12,2014년,형법범,강력범죄(폭력),협박,"10,205","1,591","5,506",837,671,588,477,394,314,273,220,"1,732","3,108"
13,2015년,형법범,강력범죄(흉악),강도,"2,046",442,"1,409",200,149,134,104,82,67,65,66,542,195
14,2015년,형법범,강력범죄(흉악),방화,"1,480",319,"1,035",179,137,107,87,86,59,55,44,281,126
15,2015년,형법범,강력범죄(흉악),살인,"1,050",238,603,112,68,77,42,37,44,29,18,176,209
16,2015년,형법범,강력범죄(흉악),성폭력,"27,199","10,103","12,984","3,576","2,191","1,509","1,029",840,608,523,389,"2,319","4,112"
17,2015년,형법범,강력범죄(폭력),공갈,"5,763","1,168","3,152",504,345,282,228,188,194,136,132,"1,143","1,443"
18,2015년,형법범,강력범죄(폭력),상해,"93,329","25,062","59,207","11,710","8,375","6,410","5,159","4,152","3,408","2,676","2,253","15,064","9,060"
19,2015년,형법범,강력범죄(폭력),약취와 유인,290,52,110,20,12,16,4,7,8,3,2,38,128
20,2015년,형법범,강력범죄(폭력),체포와 감금,"2,372",429,964,182,149,105,93,55,64,36,39,241,979
21,2015년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)","2,139",306,"1,435",192,135,124,110,94,97,83,62,538,398
22,2015년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","5,119","1,408","2,726",607,378,265,227,191,166,124,109,659,985
23,2015년,형법범,강력범죄(폭력),폭행,"220,704","35,850","84,954","16,857","12,475","9,419","7,309","5,957","4,878","3,754","3,158","21,147","99,900"
24,2015년,형법범,강력범죄(폭력),협박,"15,151","2,546","8,229","1,370","1,127",903,743,611,457,391,323,"2,304","4,376"
25,2016년,형법범,강력범죄(흉악),강도,"1,846",319,"1,248",182,134,101,99,84,73,52,52,471,279
26,2016년,형법범,강력범죄(흉악),방화,"1,351",330,892,161,128,91,70,68,41,41,33,259,129
27,2016년,형법범,강력범죄(흉악),살인,"1,043",270,596,113,80,61,41,54,27,35,30,155,177
28,2016년,형법범,강력범죄(흉악),성폭력,"29,289","10,932","13,710","3,779","2,232","1,621","1,103",859,707,502,450,"2,457","4,647"
29,2016년,형법범,강력범죄(폭력),공갈,"5,911","1,258","3,183",462,329,296,226,198,181,141,122,"1,228","1,470"
30,2016년,형법범,강력범죄(폭력),상해,"83,069","22,312","53,102","10,247","7,555","5,835","4,457","3,712","3,038","2,333","2,052","13,873","7,655"
31,2016년,형법범,강력범죄(폭력),약취와 유인,297,67,127,19,21,16,9,9,1,6,4,42,103
32,2016년,형법범,강력범죄(폭력),체포와 감금,"2,622",508,"1,102",229,184,117,97,67,59,60,29,260,"1,012"
33,2016년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",601,57,427,34,15,29,29,42,24,25,22,207,117
34,2016년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","3,060",961,"1,341",326,221,174,114,83,75,57,44,247,758
35,2016년,형법범,강력범죄(폭력),폭행,"236,505","38,516","89,780","18,091","12,684","9,942","7,647","6,390","5,088","4,139","3,219","22,580","108,209"
36,2016년,형법범,강력범죄(폭력),협박,"17,814","3,118","9,738","1,804","1,338","1,048",886,698,540,459,390,"2,575","4,958"
37,2017년,형법범,강력범죄(흉악),강도,"1,497",321,"1,003",162,127,87,79,70,57,42,42,337,173
38,2017년,형법범,강력범죄(흉악),방화,"1,263",294,824,149,106,80,61,67,42,48,36,235,145
39,2017년,형법범,강력범죄(흉악),살인,986,263,511,99,71,44,41,38,31,22,13,152,212
40,2017년,형법범,강력범죄(흉악),성폭력,"32,837","12,214","14,617","4,029","2,472","1,571","1,181",974,740,503,439,"2,708","6,006"
41,2017년,형법범,강력범죄(폭력),공갈,"5,527","1,280","2,757",498,344,236,210,201,151,117,85,915,"1,490"
42,2017년,형법범,강력범죄(폭력),상해,"74,115","20,193","46,578","9,155","6,717","5,218","3,865","3,271","2,626","2,077","1,764","11,885","7,344"
43,2017년,형법범,강력범죄(폭력),약취와 유인,299,78,120,26,25,9,8,12,4,3,3,30,101
44,2017년,형법범,강력범죄(폭력),체포와 감금,"2,771",530,"1,130",222,150,145,96,78,60,47,53,279,"1,111"
45,2017년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",618,43,489,42,30,42,26,34,33,21,22,239,86
46,2017년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","2,987",928,"1,232",304,186,139,123,77,69,62,40,232,827
47,2017년,형법범,강력범죄(폭력),폭행,"228,999","37,156","85,224","16,803","12,573","9,479","7,368","5,975","4,734","3,692","3,232","21,368","106,619"
48,2017년,형법범,강력범죄(폭력),협박,"17,463","3,178","9,202","1,662","1,311","1,025",817,647,499,433,343,"2,465","5,083"
49,2018년,형법범,강력범죄(흉악),강도,"1,320",244,801,133,72,77,52,55,40,32,37,303,275
50,2018년,형법범,강력범죄(흉악),방화,"1,368",345,890,147,95,98,67,83,48,53,24,275,133
51,2018년,형법범,강력범죄(흉악),살인,"1,095",258,474,92,70,44,42,29,31,20,16,130,363
52,2018년,형법범,강력범죄(흉악),성폭력,"32,858","11,586","14,149","3,896","2,289","1,626","1,178",894,694,556,425,"2,591","7,123"
53,2018년,형법범,강력범죄(폭력),공갈,"5,397","1,325","2,474",471,327,239,195,147,140,110,76,769,"1,598"
54,2018년,형법범,강력범죄(폭력),상해,"65,210","17,509","40,506","7,621","5,683","4,458","3,448","2,804","2,235","1,846","1,424","10,987","7,195"
55,2018년,형법범,강력범죄(폭력),약취와 유인,268,73,106,35,12,11,10,11,3,5,1,18,89
56,2018년,형법범,강력범죄(폭력),체포와 감금,"2,495",486,"1,000",168,146,97,102,69,60,56,41,261,"1,009"
57,2018년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",970,74,650,14,25,44,39,40,32,49,33,374,246
58,2018년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","2,826",942,"1,048",266,168,124,93,58,70,34,37,198,836
59,2018년,형법범,강력범죄(폭력),폭행,"221,369","36,217","82,741","16,451","11,753","9,188","7,278","5,830","4,596","3,739","2,944","20,962","102,411"
60,2018년,형법범,강력범죄(폭력),협박,"19,341","3,412","9,679","1,790","1,320","1,074",843,695,547,466,361,"2,583","6,250"
61,2019년,형법범,강력범죄(흉악),강도,"1,495",310,907,130,103,104,79,60,67,33,30,301,278
62,2019년,형법범,강력범죄(흉악),방화,"1,294",288,830,134,115,82,78,59,45,44,44,229,176
63,2019년,형법범,강력범죄(흉악),살인,"1,050",223,472,106,52,48,43,24,22,21,11,145,355
64,2019년,형법범,강력범죄(흉악),성폭력,"33,551","11,810","14,085","3,750","2,352","1,603","1,172",885,683,544,438,"2,658","7,656"
65,2019년,형법범,강력범죄(폭력),공갈,"5,366","1,526","2,329",406,283,218,158,174,128,118,89,755,"1,511"
66,2019년,형법범,강력범죄(폭력),상해,"59,687","16,005","36,977","7,048","5,087","4,009","3,045","2,624","2,059","1,657","1,367","10,081","6,705"
67,2019년,형법범,강력범죄(폭력),약취와 유인,368,81,131,23,22,8,12,12,7,7,2,38,156
68,2019년,형법범,강력범죄(폭력),체포와 감금,"2,546",515,983,177,144,90,84,55,62,42,37,292,"1,048"
69,2019년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",502,99,310,29,34,28,38,11,15,21,23,111,93
70,2019년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","3,248","1,092","1,087",287,195,144,81,60,68,32,30,190,"1,069"
71,2019년,형법범,강력범죄(폭력),폭행,"217,391","36,333","83,127","16,359","11,928","9,144","7,011","5,821","4,493","3,758","2,940","21,673","97,931"
72,2019년,형법범,강력범죄(폭력),협박,"23,561","4,150","11,702","2,130","1,592","1,265","1,038",788,705,559,451,"3,174","7,709"
